,Unnamed: 0,customer_email,transaction_id,order_id,payment_method_id,payment_method_registration_failure,payment_method_type,payment_method_provider,transaction_amount,transaction_failed,order_state
569,569,johnlowery@gmail.com,soaefwfo,pc6hb6,8wpdnmsut,0,paypal,JCB 16 digit,46,0,fulfilled
570,570,johnlowery@gmail.com,7df4i4c9,zxyice,hs3hemcz6,0,card,Maestro,46,0,fulfilled
571,571,johnlowery@gmail.com,c5usmga3,oo68hd,hs3hemcz6,0,card,Maestro,34,0,fulfilled
586,586,deborah38@yahoo.com,muzrxahs,sb4gud,kzpdmdk05,0,card,VISA 16 digit,30,0,fulfilled
587,587,andre74@patrick-decker.com,kdc3wdhj,99hv2e,z4jrvn93k,0,card,JCB 16 digit,44,0,fulfilled
588,588,andre74@patrick-decker.com,8f8tkglk,yjyogo,ru0jjkjlt,0,card,JCB 16 digit,26,0,fulfilled
589,589,andre74@patrick-decker.com,09hmwr4s,nfryte,z4jrvn93k,0,card,JCB 16 digit,46,0,fulfilled
590,590,andre74@patrick-decker.com,sdvzm88k,nfryte,6umtakhhu,0,apple pay,VISA 16 digit,46,1,fulfilled
591,591,andre74@patrick-decker.com,0rtt6tgw,aj4xtw,ru0jjkjlt,0,card,JCB 16 digit,36,0,fulfilled
595,595,mitchellvickie@brewer-jones.com,ryxa1mzn,6086rd,x644o186l,0,card,JCB 16 digit,31,0,failed
596,596,mitchellvickie@brewer-jones.com,waeqt53t,tq151t,x644o186l,0,card,JCB 16 digit,61,0,fulfilled
597,597,mitchellvickie@brewer-jones.com,chd6ii6v,ns8z3e,x644o186l,0,card,JCB 16 digit,34,0,fulfilled
598,598,sbrown@hughes.biz,293g6767,57yhdo,wsy5c41nf,0,card,Voyager,30,0,fulfilled
599,599,sbrown@hughes.biz,8hqq8gnj,zmwtn6,usu93euvb,0,card,Voyager,43,0,fulfilled
600,600,sbrown@hughes.biz,o9wqic08,8lfy8d,wsy5c41nf,0,card,Voyager,14,1,fulfilled
601,601,sbrown@hughes.biz,vksokuxy,8lfy8d,usu93euvb,0,card,Voyager,14,0,fulfilled
602,602,sbrown@hughes.biz,get2kwes,gv51sp,wsy5c41nf,0,card,Voyager,21,0,fulfilled
603,603,sbrown@hughes.biz,iwe4sw3m,heeu8i,vmktpy2mv,0,card,Discover,27,0,fulfilled
604,604,johnlowery@gmail.com,qio8vvq7,vcyuse,j3foo2l16,0,card,JCB 16 digit,35,0,fulfilled
605,605,johnlowery@gmail.com,xi23rned,jhaub8,xpd7j7c5g,0,card,JCB 16 digit,13,0,fulfilled
606,606,johnlowery@gmail.com,my4g00b1,7h0dat,xpd7j7c5g,0,card,JCB 16 digit,46,0,fulfilled
607,607,johnlowery@gmail.com,g3bqf8xd,tc712d,j3foo2l16,0,card,JCB 16 digit,27,0,fulfilled
608,608,ethompson@jackson-sanders.com,1uusmhj9,9s9ne9,kcg6rzgch,0,card,Maestro,49,0,failed
609,609,ethompson@jackson-sanders.com,1exu7d21,t76ess,oycs53i0s,0,card,Voyager,54,0,fulfilled
610,610,ethompson@jackson-sanders.com,aph71b7b,t76ess,1tmkeoxbm,0,card,American Express,54,1,fulfilled
611,611,ethompson@jackson-sanders.com,piabwn96,cbxamb,1tmkeoxbm,0,card,American Express,37,0,fulfilled
612,612,ethompson@jackson-sanders.com,yneqvvwj,cbxamb,pj3k9zcc7,0,bitcoin,JCB 16 digit,37,1,fulfilled
613,613,ethompson@jackson-sanders.com,l2t3xn9z,wjq6ep,pj3k9zcc7,0,bitcoin,JCB 16 digit,43,0,fulfilled
614,614,ethompson@jackson-sanders.com,yb9ejssg,zynstd,oycs53i0s,0,card,Voyager,64,0,fulfilled
615,615,ethompson@jackson-sanders.com,j3xzwavj,diw3zx,oycs53i0s,0,card,Voyager,40,0,fulfilled
